,Month,RemainingTerm,DealNum,PropertyPrice,Loan,LTV,InterestRate,InterestDue,CapitalPaymentDue,Fees,CapitalPaid,OverpaymentPaid,FeePaid
0,0,360,1,500000,445000,0.89,0.0274,0,-1814.31703035,995.0,0,0,995.0
1,1,359,1,500000,444201.766303,0.888403532606,0.0274,1016.08333333,-1814.31703035,0,798.233697012,0,0
2,2,358,1,500000,443401.709972,0.886803419945,0.0274,1014.26069973,-1814.31703035,0,800.05633062,0,0
3,3,357,1,500000,442599.826846,0.885199653693,0.0274,1012.43390444,-1814.31703035,0,801.883125908,0,0
4,4,356,1,500000,441796.112754,0.883592225508,0.0274,1010.60293797,-1814.31703035,0,803.714092379,0,0
5,5,355,1,500000,440990.563515,0.881981127029,0.0274,1008.76779079,-1814.31703035,0,805.549239557,0,0
6,6,354,1,500000,440183.174938,0.880366349875,0.0274,1006.92845336,-1814.31703035,0,807.388576987,0,0
7,7,353,1,500000,439373.942823,0.878747885647,0.0274,1005.08491611,-1814.31703035,0,809.232114238,0,0
8,8,352,1,500000,438562.862962,0.877125725925,0.0274,1003.23716945,-1814.31703035,0,811.079860899,0,0
9,9,351,1,500000,437749.931136,0.875499862272,0.0274,1001.38520376,-1814.31703035,0,812.931826581,0,0
10,10,350,1,500000,436935.143115,0.87387028623,0.0274,999.529009427,-1814.31703035,0,814.788020918,0,0
11,11,349,1,500000,436118.494661,0.872236989323,0.0274,997.668576779,-1814.31703035,0,816.648453566,0,0
12,12,348,1,500000,435299.981527,0.870599963054,0.0274,995.803896143,-1814.31703035,0,818.513134202,0,0
13,13,347,1,500000,434479.599455,0.868959198909,0.0274,993.93495782,-1814.31703035,0,820.382072525,0,0
14,14,346,1,500000,433657.344176,0.867314688353,0.0274,992.061752088,-1814.31703035,0,822.255278257,0,0
15,15,345,1,500000,432833.211415,0.86566642283,0.0274,990.184269203,-1814.31703035,0,824.132761143,0,0
16,16,344,1,500000,432007.196884,0.864014393769,0.0274,988.302499398,-1814.31703035,0,826.014530947,0,0
17,17,343,1,500000,431179.296287,0.862358592574,0.0274,986.416432886,-1814.31703035,0,827.90059746,0,0
18,18,342,1,500000,430349.505316,0.860699010633,0.0274,984.526059855,-1814.31703035,0,829.79097049,0,0
19,19,341,1,500000,429517.819656,0.859035639313,0.0274,982.631370472,-1814.31703035,0,831.685659873,0,0
20,20,340,1,500000,428684.234981,0.857368469962,0.0274,980.732354882,-1814.31703035,0,833.584675463,0,0
21,21,339,1,500000,427848.746954,0.855697493908,0.0274,978.829003207,-1814.31703035,0,835.488027139,0,0
22,22,338,1,500000,427011.351229,0.854022702458,0.0274,976.921305545,-1814.31703035,0,837.395724801,0,0
23,23,337,1,500000,426172.043451,0.852344086901,0.0274,975.009251973,-1814.31703035,0,839.307778372,0,0
24,24,336,1,500000,425330.819253,0.850661638506,0.0274,973.092832546,-1814.31703035,0,841.2241978,0,0
25,25,335,1,500000,424487.67426,0.84897534852,0.0274,971.172037294,-1814.31703035,0,843.144993051,0,0
26,26,334,1,500000,423642.604086,0.847285208171,0.0274,969.246856227,-1814.31703035,0,845.070174119,0,0
27,27,333,1,500000,422795.604335,0.845591208669,0.0274,967.317279329,-1814.31703035,0,846.999751016,0,0
28,28,332,1,500000,421946.670601,0.843893341202,0.0274,965.383296564,-1814.31703035,0,848.933733781,0,0
29,29,331,1,500000,421095.798468,0.842191596937,0.0274,963.444897872,-1814.31703035,0,850.872132473,0,0
30,30,330,1,500000,420242.983511,0.840485967022,0.0274,961.50207317,-1814.31703035,0,852.814957176,0,0
31,31,329,1,500000,419388.221293,0.838776442587,0.0274,959.554812351,-1814.31703035,0,854.762217995,0,0
32,32,328,1,500000,418531.507368,0.837063014736,0.0274,957.603105286,-1814.31703035,0,856.713925059,0,0
33,33,327,1,500000,417672.83728,0.835345674559,0.0274,955.646941824,-1814.31703035,0,858.670088521,0,0
34,34,326,1,500000,416812.206561,0.833624413122,0.0274,953.686311789,-1814.31703035,0,860.630718557,0,0
35,35,325,1,500000,415949.610736,0.831899221472,0.0274,951.721204981,-1814.31703035,0,862.595825364,0,0
36,36,324,1,500000,415085.045317,0.830170090633,0.0274,949.75161118,-1814.31703035,0,864.565419165,0,0
37,37,323,1,500000,414218.505806,0.828437011613,0.0274,947.77752014,-1814.31703035,0,866.539510206,0,0
38,38,322,1,500000,413349.987698,0.826699975395,0.0274,945.798921591,-1814.31703035,0,868.518108754,0,0
39,39,321,1,500000,412479.486473,0.824958972945,0.0274,943.815805243,-1814.31703035,0,870.501225102,0,0
40,40,320,1,500000,411606.997603,0.823213995206,0.0274,941.828160779,-1814.31703035,0,872.488869566,0,0
41,41,319,1,500000,410732.51655,0.821465033101,0.0274,939.83597786,-1814.31703035,0,874.481052485,0,0
42,42,318,1,500000,409856.038766,0.819712077533,0.0274,937.839246124,-1814.31703035,0,876.477784222,0,0
43,43,317,1,500000,408977.559691,0.817955119382,0.0274,935.837955183,-1814.31703035,0,878.479075162,0,0
44,44,316,1,500000,408097.074755,0.816194149511,0.0274,933.832094628,-1814.31703035,0,880.484935717,0,0
45,45,315,1,500000,407214.579379,0.814429158758,0.0274,931.821654025,-1814.31703035,0,882.49537632,0,0
46,46,314,1,500000,406330.068972,0.812660137943,0.0274,929.806622915,-1814.31703035,0,884.51040743,0,0
47,47,313,1,500000,405443.538932,0.810887077864,0.0274,927.786990819,-1814.31703035,0,886.530039527,0,0
48,48,312,1,500000,404554.984649,0.809109969298,0.0274,925.762747228,-1814.31703035,0,888.554283117,0,0
49,49,311,1,500000,403664.4015,0.807328803,0.0274,923.733881615,-1814.31703035,0,890.58314873,0,0
50,50,310,1,500000,402771.784853,0.805543569707,0.0274,921.700383426,-1814.31703035,0,892.61664692,0,0
51,51,309,1,500000,401877.130065,0.80375426013,0.0274,919.662242082,-1814.31703035,0,894.654788263,0,0
52,52,308,1,500000,400980.432482,0.801960864963,0.0274,917.619446982,-1814.31703035,0,896.697583363,0,0
53,53,307,1,500000,400081.687439,0.800163374878,0.0274,915.5719875,-1814.31703035,0,898.745042845,0,0
54,54,306,1,500000,399180.890261,0.798361780523,0.0274,913.519852985,-1814.31703035,0,900.79717736,0,0
55,55,305,1,500000,398278.036264,0.796556072528,0.0274,911.463032764,-1814.31703035,0,902.853997582,0,0
56,56,304,1,500000,397373.12075,0.794746241499,0.0274,909.401516136,-1814.31703035,0,904.915514209,0,0
57,57,303,1,500000,396466.139012,0.792932278023,0.0274,907.335292378,-1814.31703035,0,906.981737967,0,0
58,58,302,1,500000,395557.086332,0.791114172664,0.0274,905.264350743,-1814.31703035,0,909.052679602,0,0
59,59,301,1,500000,394645.957982,0.789291915964,0.0274,903.188680458,-1814.31703035,0,911.128349887,0,0
60,60,300,1,500000,393732.749223,0.787465498445,0.0274,901.108270726,-1814.31703035,0,913.208759619,0,0
0,0,360,1,500000,445000,0.89,0.0274,0,-1814.31703035,995.0,0,0,995.0
