,Month,RemainingTerm,DealNum,PropertyPrice,Loan,LTV,InterestRate,InterestDue,CapitalPaymentDue,Fees,CapitalPaid,OverpaymentPaid,FeePaid
0,0,360,1,170000,99000,0.5823529411764706,0.0139,0,-336.467908689,1995.0,0,0,1995.0
1,1,359,1,170000,98514.675,0.579498088235,0.0139,114.675,-336.467908689,0,485.325,263.532091311,0
2,2,358,1,170000,98028.7878319,0.576639928423,0.0139,114.112831875,-336.467908689,0,485.887168125,263.532091311,0
3,3,357,1,170000,97542.3378444,0.573778457909,0.0139,113.550012572,-336.467908689,0,486.449987428,263.532091311,0
4,4,356,1,170000,97055.3243858,0.570913672858,0.0139,112.986541336,-336.467908689,0,487.013458664,263.532091311,0
5,5,355,1,170000,96567.7468032,0.568045569431,0.0139,112.422417414,-336.467908689,0,487.577582586,263.532091311,0
6,6,354,1,170000,96079.6044432,0.565174143784,0.0139,111.857640047,-336.467908689,0,488.142359953,263.532091311,0
7,7,353,1,170000,95590.8966517,0.562299392069,0.0139,111.29220848,-336.467908689,0,488.70779152,263.532091311,0
8,8,352,1,170000,95101.6227737,0.559421310433,0.0139,110.726121955,-336.467908689,0,489.273878045,263.532091311,0
9,9,351,1,170000,94611.7821534,0.55653989502,0.0139,110.159379713,-336.467908689,0,489.840620287,263.532091311,0
10,10,350,1,170000,94121.3741344,0.553655141967,0.0139,109.591980994,-336.467908689,0,490.408019006,263.532091311,0
11,11,349,1,170000,93630.3980594,0.550767047408,0.0139,109.023925039,-336.467908689,0,490.976074961,263.532091311,0
12,12,348,1,170000,93138.8532705,0.547875607474,0.0139,108.455211086,-336.467908689,0,491.544788914,263.532091311,0
13,13,347,1,170000,92646.7391089,0.544980818288,0.0139,107.885838372,-336.467908689,0,492.114161628,263.532091311,0
14,14,346,1,170000,92154.054915,0.542082675971,0.0139,107.315806134,-336.467908689,0,492.684193866,263.532091311,0
15,15,345,1,170000,91660.8000286,0.539181176639,0.0139,106.74511361,-336.467908689,0,493.25488639,263.532091311,0
16,16,344,1,170000,91166.9737887,0.536276316404,0.0139,106.173760033,-336.467908689,0,493.826239967,263.532091311,0
17,17,343,1,170000,90672.5755333,0.533368091372,0.0139,105.601744639,-336.467908689,0,494.398255361,263.532091311,0
18,18,342,1,170000,90177.6046,0.530456497647,0.0139,105.029066659,-336.467908689,0,494.970933341,263.532091311,0
19,19,341,1,170000,89682.0603253,0.527541531325,0.0139,104.455725328,-336.467908689,0,495.544274672,263.532091311,0
20,20,340,1,170000,89185.9420452,0.524623188501,0.0139,103.881719877,-336.467908689,0,496.118280123,263.532091311,0
21,21,339,1,170000,88689.2490947,0.521701465263,0.0139,103.307049536,-336.467908689,0,496.692950464,263.532091311,0
22,22,338,1,170000,88191.9808082,0.518776357695,0.0139,102.731713535,-336.467908689,0,497.268286465,263.532091311,0
23,23,337,1,170000,87694.1365193,0.515847861878,0.0139,102.155711103,-336.467908689,0,497.844288897,263.532091311,0
24,24,336,1,170000,87195.7155608,0.512915973887,0.0139,101.579041468,-336.467908689,0,498.420958532,263.532091311,0
25,25,335,1,170000,86947.4049469,0.511455323217,0.0484,351.689386095,-475.02651725,0,248.310613905,124.97348275,0
26,26,334,2,170000,86520.5751951,0.508944559971,0.0239,173.170248186,-356.686090024,0,426.829751814,243.313909976,0
27,27,333,2,170000,86092.8953407,0.506428796122,0.0239,172.320145597,-356.686090024,0,427.679854403,243.313909976,0
28,28,332,2,170000,85664.3636906,0.503908021709,0.0239,171.468349887,-356.686090024,0,428.531650113,243.313909976,0
29,29,331,2,170000,85234.9785483,0.501382226754,0.0239,170.614857684,-356.686090024,0,429.385142316,243.313909976,0
30,30,330,2,170000,84804.7382139,0.498851401258,0.0239,169.759665609,-356.686090024,0,430.240334391,243.313909976,0
31,31,329,2,170000,84373.6409841,0.496315535201,0.0239,168.902770276,-356.686090024,0,431.097229724,243.313909976,0
32,32,328,2,170000,83941.6851524,0.493774618544,0.0239,168.044168293,-356.686090024,0,431.955831707,243.313909976,0
33,33,327,2,170000,83508.8690087,0.491228641228,0.0239,167.183856262,-356.686090024,0,432.816143738,243.313909976,0
34,34,326,2,170000,83075.1908395,0.488677593173,0.0239,166.321830776,-356.686090024,0,433.678169224,243.313909976,0
35,35,325,2,170000,82640.6489279,0.486121464282,0.0239,165.458088422,-356.686090024,0,434.541911578,243.313909976,0
36,36,324,2,170000,82205.2415537,0.483560244433,0.0239,164.592625781,-356.686090024,0,435.407374219,243.313909976,0
37,37,323,2,170000,81768.9669931,0.480993923489,0.0239,163.725439428,-356.686090024,0,436.274560572,243.313909976,0
38,38,322,2,170000,81331.823519,0.478422491288,0.0239,162.856525928,-356.686090024,0,437.143474072,243.313909976,0
39,39,321,2,170000,80893.8094009,0.475845937652,0.0239,161.985881842,-356.686090024,0,438.014118158,243.313909976,0
40,40,320,2,170000,80454.9229046,0.47326425238,0.0239,161.113503723,-356.686090024,0,438.886496277,243.313909976,0
41,41,319,2,170000,80015.1622927,0.470677425251,0.0239,160.239388118,-356.686090024,0,439.760611882,243.313909976,0
42,42,318,2,170000,79574.5258243,0.468085446025,0.0239,159.363531566,-356.686090024,0,440.636468434,243.313909976,0
43,43,317,2,170000,79133.0117549,0.46548830444,0.0239,158.4859306,-356.686090024,0,441.5140694,243.313909976,0
44,44,316,2,170000,78690.6183366,0.462885990215,0.0239,157.606581745,-356.686090024,0,442.393418255,243.313909976,0
45,45,315,2,170000,78247.3438181,0.460278493048,0.0239,156.72548152,-356.686090024,0,443.27451848,243.313909976,0
46,46,314,2,170000,77803.1864446,0.457665802615,0.0239,155.842626438,-356.686090024,0,444.157373562,243.313909976,0
47,47,313,2,170000,77358.1444576,0.455047908574,0.0239,154.958013002,-356.686090024,0,445.041986998,243.313909976,0
48,48,312,2,170000,76912.2160953,0.452424800561,0.0239,154.071637711,-356.686090024,0,445.928362289,243.313909976,0
49,49,311,2,170000,76622.4287002,0.450720168825,0.0484,310.212604918,-434.45745466,0,289.787395082,165.54254534,0
50,50,310,3,170000,76238.8870613,0.448464041537,0.0339,216.458361078,-371.324471197,0,383.541638922,228.675528803,0
51,51,309,3,170000,75854.2619172,0.44620154069,0.0339,215.374855948,-371.324471197,0,384.625144052,228.675528803,0
52,52,308,3,170000,75468.5502072,0.443932648277,0.0339,214.288289916,-371.324471197,0,385.711710084,228.675528803,0
53,53,307,3,170000,75081.7488615,0.441657346244,0.0339,213.198654335,-371.324471197,0,386.801345665,228.675528803,0
54,54,306,3,170000,74693.854802,0.439375616482,0.0339,212.105940534,-371.324471197,0,387.894059466,228.675528803,0
55,55,305,3,170000,74304.8649418,0.437087440834,0.0339,211.010139816,-371.324471197,0,388.989860184,228.675528803,0
56,56,304,3,170000,73914.7761853,0.43479280109,0.0339,209.911243461,-371.324471197,0,390.088756539,228.675528803,0
57,57,303,3,170000,73523.585428,0.432491678988,0.0339,208.809242723,-371.324471197,0,391.190757277,228.675528803,0
58,58,302,3,170000,73131.2895569,0.430184056217,0.0339,207.704128834,-371.324471197,0,392.295871166,228.675528803,0
59,59,301,3,170000,72737.8854499,0.427869914411,0.0339,206.595892998,-371.324471197,0,393.404107002,228.675528803,0
60,60,300,3,170000,72343.3699763,0.425549235154,0.0339,205.484526396,-371.324471197,0,394.515473604,228.675528803,0
