,Index,Lender name,Rate type,Initial rate,Initial Period,Ongoing rate,Ending Loan,Interest Paid,Capital Paid,Overpayments,Fee,Total costs (excl. capital)
0,140,Platform,Fixed,2.39,60,4.74,70170.92727606802,10170.927276068072,28829.072723931982,15868.120522114366,0.0,10170.927276068072
0,146,State Bank of India,Fixed,2.4,60,4.49,70216.24671873965,10216.24671873959,28783.753281260346,15837.48283462809,0.0,10216.24671873959
0,550,State Bank of India,Fixed,2.4,60,4.49,70216.24671873965,10216.24671873959,28783.753281260346,15837.48283462809,0.0,10216.24671873959
0,102,Virgin Money Intermediary,Fixed,2.22,60,4.99,69404.15137061408,9404.151370614074,29595.848629385917,16385.3654620004,995.0,10399.151370614074
0,507,Royal Bank of Scotland Intermediaries,Fixed,2.22,60,3.99,69404.15137061408,9404.151370614074,29595.848629385917,16385.3654620004,995.0,10399.151370614074
0,508,NatWest Intermediary Solutions,Fixed,2.22,60,4.49,69404.15137061408,9404.151370614074,29595.848629385917,16385.3654620004,995.0,10399.151370614074
0,510,Virgin Money Intermediary,Fixed,2.22,60,4.99,69404.15137061408,9404.151370614074,29595.848629385917,16385.3654620004,995.0,10399.151370614074
0,154,Principality Building Society,Fixed,2.45,60,4.9,70443.20360333614,10443.203603336151,28556.796396663864,15683.943041491266,0.0,10443.203603336151
0,105,Royal Bank of Scotland Intermediaries,Fixed,2.23,60,3.99,69449.0652850531,9449.065285053133,29550.934714946896,16355.127753525805,995.0,10444.065285053133
0,106,NatWest Intermediary Solutions,Fixed,2.23,60,4.49,69449.0652850531,9449.065285053133,29550.934714946896,16355.127753525805,995.0,10444.065285053133
0,107,Virgin Money,Fixed,2.24,60,4.99,69494.00295880032,9494.002958800305,29505.997041199676,16324.866437930075,995.0,10489.002958800305
0,514,Virgin Money,Fixed,2.24,60,4.99,69494.00295880032,9494.002958800305,29505.997041199676,16324.866437930075,995.0,10489.002958800305
0,109,Platform,Fixed,2.24,60,4.74,69494.00295880032,9494.002958800305,29505.997041199676,16324.866437930075,999.0,10493.002958800305
0,117,Accord Mortgages,Fixed,2.27,60,4.99,69628.95865474817,9628.958654748232,29371.041345251826,16233.940945432085,950.0,10578.958654748232
