,CapitalPaid,CapitalPaymentDue,DealNum,FeePaid,Fees,InterestDue,InterestRate,LTV,Loan,Month,OverpaymentPaid,PropertyPrice,RemainingTerm,num
0,0,-1814.31703035,1,995.0,995.0,0,0.0274,0.89,445000,0,0,500000,360,0.0
1,798.233697012,-1814.31703035,1,0,0,1016.08333333,0.0274,0.888403532606,444201.766303,1,0,500000,359,0.0
2,800.05633062,-1814.31703035,1,0,0,1014.26069973,0.0274,0.886803419945,443401.709972,2,0,500000,358,0.0
3,801.883125908,-1814.31703035,1,0,0,1012.43390444,0.0274,0.885199653693,442599.826846,3,0,500000,357,0.0
4,803.714092379,-1814.31703035,1,0,0,1010.60293797,0.0274,0.883592225508,441796.112754,4,0,500000,356,0.0
5,805.549239557,-1814.31703035,1,0,0,1008.76779079,0.0274,0.881981127029,440990.563515,5,0,500000,355,0.0
6,807.388576987,-1814.31703035,1,0,0,1006.92845336,0.0274,0.880366349875,440183.174938,6,0,500000,354,0.0
7,809.232114238,-1814.31703035,1,0,0,1005.08491611,0.0274,0.878747885647,439373.942823,7,0,500000,353,0.0
8,811.079860899,-1814.31703035,1,0,0,1003.23716945,0.0274,0.877125725925,438562.862962,8,0,500000,352,0.0
9,812.931826581,-1814.31703035,1,0,0,1001.38520376,0.0274,0.875499862272,437749.931136,9,0,500000,351,0.0
10,814.788020918,-1814.31703035,1,0,0,999.529009427,0.0274,0.87387028623,436935.143115,10,0,500000,350,0.0
11,816.648453566,-1814.31703035,1,0,0,997.668576779,0.0274,0.872236989323,436118.494661,11,0,500000,349,0.0
12,818.513134202,-1814.31703035,1,0,0,995.803896143,0.0274,0.870599963054,435299.981527,12,0,500000,348,0.0
13,820.382072525,-1814.31703035,1,0,0,993.93495782,0.0274,0.868959198909,434479.599455,13,0,500000,347,0.0
14,822.255278257,-1814.31703035,1,0,0,992.061752088,0.0274,0.867314688353,433657.344176,14,0,500000,346,0.0
15,824.132761143,-1814.31703035,1,0,0,990.184269203,0.0274,0.86566642283,432833.211415,15,0,500000,345,0.0
